title,year
Material urbà,1990
Matewan,1987
Maurice,1987
Me voy,1987
Meatballs III: Summer Job,1986
Medium Rare,1987
Main Balwaan,1986
Men,1987
The Haunted Cop Shop,1987
Operation Pink Squad II,1989
More About the Children of Noisy Village,1987
Mercenary Fighters,1988
Messer,1987
Mon cas,1986
Mi general,1987
Miami Golem,1985
Miedzy ustami a brzegiem pucharu,1987
I miei primi 40 anni,1987
Mientras haya luz,1987
Milan noir,1988
Million Dollar Mystery,1987
The Pool,1987
Le miniere del Kilimangiaro (Afrikanter),1986
Mio in the Land of Faraway,1987
Mirage,1987
The Misfit Brigade,1987
Misja specjalna,1987
Missile,1988
Return of the Kickfighter,1987
Mission Kill,1985
O Mistério do Armário,1987
Mit Leib und Seele,1988
Return of the Demon,1987
Mohre,1987
Sorceress,1987
"Mon bel amour, ma déchirure",1987
Mondo New York,1988
The Monster Squad,1987
Montecarlo Gran Casinò,1987
A Month in the Country,1987
Moon in Scorpio,1987
Moonstruck,1987
Moonzund,1988
Morgan Stewart's Coming Home,1987
Moors and Christians,1987
Farewell Moscow,1987
Moskovskaya elegiya,1990
Moti Verana Chawk Ma,1987
Motten im Licht,1986
Le moustachu,1987
Moy boevoy rashchyot,1987
Moziklip,1987
Mr. India,1987
Miss Arizona,1988
Multicolored,1987
Munchies,1987
Murder Rap,1988
My Dark Lady,1987
My Demon Lover,1987
A másik ember,1988
Pirates of the Lake,1987
Na iskhode nochi,1988
On the Silver Globe,1988
Die Nacht des Marders,1988
Nad Niemnem,1987
Nadine,1987
The Man with Three Coffins,1987
The Naked Cell,1988
Diary for My Lovers,1987
Nayakan,1987
Nazrana,1987
Near Dark,1987
An Uncertain Season,1988
Nekromantik,1988
The Adventures of Oliver Twist,1987
New York Yankees (the Movie),1987
The Newlydeads,1988
Ngati,1987
Nice Girls Don't Explode,1987
Niedzielne igraszki,1983
Night Friend,1987
The Night Stalker,1986
Night Trackers,1987
Night of the Demons,1988
Nightflyers,1987
Nightmare Sisters,1988
A Nightmare on Elm Street 3: Dream Warriors,1987
Nights in White Satin,1987
Nihil oder Alle Zeit der Welt,1987
Daughter of the Nile,1987
Nionde kompaniet,1987
Nitwits,1987
No Day Is a Holiday,1987
No Dead Heroes,1986
No Man's Land,1987
No Safe Haven,1987
No Way Out,1987
The Cruel Embrace,1987
Una nit a Casa Blanca,1987
Nochnoy ekipazh,1987
Noi uomini duri,1987
North Shore,1987
"Summer Night with Greek Profile, Almond Eyes and Scent of Basil",1986
Notte italiana,1987
Les nouveaux tricheurs,1987
Novye skazki Shakherezady,1987
Nowhere to Hide,1987
Noyade interdite,1987
Nudeln,1987
Nuit docile,1987
Number One with a Bullet,1987
Nur für mich,1987
Nuts,1987
O.T.1. Kino,1987
The Occultist,1988
Dark Eyes,1987
Odinokaya zhenshchina zhelayet poznakomitsya,1987
Odyssée d'amour,1987
L'oeil au beurre noir,1987
Pathfinder,1987
A Film About Love,1987
Omega Syndrome,1986
On a volé Charlie Spencer!,1986
On the Black Hill,1988
Only a Buck,1987
Open House,1987
Opera,1987
Operación billete,1987
Les oreilles entre les dents,1987
De orionnevel,1987
Orn,1987
Orphans,1987
Ossegg oder Die Wahrheit über Hänsel und Gretel,1987
Osudjeni,1987
Tora-san Goes North,1987
Tora-san Plays Daddy,1987
Outlaw Force,1987
Outrageous Fortune,1987
La oveja negra,1987
Over the Top,1987
Overboard,1987
Pamiec,1985
Pan Samochodzik i niesamowity dwór,1987
Pandemonium,1987
Les pyramides bleues,1988
Paramedics,1988
Partition,1987
Far Passion,1986
La passerelle,1988
Beatrice,1987
Bachelor Girl,1987
The Impeccable Sinner,1987
Freckled Max and the Spooks,1987
Pelle the Conqueror,1987
Penitentiary III,1987
The Perfect Match,1987
A Tale from the Past,1987
Personal Foul,1987
Personal Services,1987
Pervaya vstrecha - poslednyaya vstrecha,1988
La petite allumeuse,1987
Petits blancs au manioc et à la sauce gombos,1987
Phoenix the Warrior,1988
The Photograph,1986
Photo Roman,1987
To Err Is Humane,1987
Pica Pica,1987
The Pick-up Artist,1987
Der Pilot,1987
Ping an ye,1985
The Pink Chiquitas,1986
"Pink Palace, Paradise Beach",1987
Pinocchio and the Emperor of the Night,1987
The New Adventures of Pippi Longstocking,1988
The Place at the Coast,1987
El placer de matar,1988
"Planes, Trains & Automobiles",1987
Po trave bosikom,1987
Pociag do Hollywood,1987
Repentance,1984
Police Academy 4: Citizens on Patrol,1987
Policía,1987
El polizón del Ulises,1987
Por la borda,1987
"Poshchyochina, kotoroy ne bylo",1987
Positive I.D.,1986
Possession,1987
The Possessed,1988
La posta in gioco,1988
Poule et frites,1987
Killing Time,1987
A Prayer for the Dying,1987
Prazdnik Neptuna,1986
Predator,1987
Tomorrow's a Killer,1987
Prick Up Your Ears,1987
Prince of Darkness,1987
The Princess Academy,1987
The Princess Bride,1987
The Principal,1987
Prinsen av Fogo,1988
P.I. Private Investigations,1987
Proc?,1987
Professor Taranne,1987
Bizarre,1987
Programmed to Kill,1987
Morning Patrol,1987
Project X,1987
"Proshchay, shpana zamoskvoretskaya",1988
Prywatne sledztwo,1987
Przyjaciel wesolego diabla,1987
Psychos in Love,1987
Punch Drunk,1987
Put More Blood Into the Music,1987
Puteri,1987
Seven Years Itch,1987
The Seven Coffins,1975
Quartiere,1987
That Guy from the Stands,1987
O Querido Lilás,1987
Quimera,1988
Quincas Borba,1987
Profiles of Pleasure,1988
Rachel River,1987
Radio Days,1987
Der Radwechsel,1987
Rage of Honor,1987
Rage to Kill,1987
Raising Arizona,1987
De ratelrat,1987
Raz na raz ne prikhoditsya,1988
Real Men,1987
Rebel High,1987
Red Riding Hood,1987
Reefer and the Model,1988
Reflejos,1987
Regard de fous,1987
The Record,1984
Relação Fiel e Verdadeira,1987
Rowing with the Wind,1988
Remote Control,1988
Woman Demon Human,1987
People's Hero,1987
Tempesta d'estiu,1987
Never Travel on a One Way Ticket,1987
Restrisiko oder Die Arroganz der Macht,1989
Return to Horror High,1987
A Return to Salem's Lot,1987
Ahora mis pistolas hablan,1986
Revenge of the Nerds II: Nerds in Paradise,1987
Revolutions Happen Like Refrains in a Song,1987
"Reyno 11 år, soldat",1987
The Right Hand Man,1987
The Undressing,1986
Rimini Rimini,1987
Riot on 42nd St.,1987
Roba da ricchi,1987
RoboCop,1987
Robot Holocaust,1987
Rock 'n' Roll Nightmare,1987
Rolling Vengeance,1987
Romance de Uma Música,1987
The Rosary Murders,1987
Roxanne,1987
La rumba,1987
Rumbo norte,1987
Rumpelstiltskin,1987
Run If You Can,1988
Running from the Guns,1987
The Running Man,1987
Running Out of Luck,1985
Lupin III: The Fuma Conspiracy,1987
La rusa,1987
Russkies,1987
Rykowisko,1987
Résidence surveillée,1987
SFX Retaliator,1987
Sadovnik,1987
Saigon Commandos,1988
Saint-Tropez interdit,1985
Saint-Tropez Vice,1987
Sakura Killers,1987
Sale destin,1987
Salvation!,1987
Sammy and Rosie Get Laid,1987
Sinta mahalin mo ako,1987
Sasek a královna,1988
Saturday Night at the Palace,1987
Savage Harbor,1987
Saxo,1988
Scenes from the Goldmine,1987
Schlachtzeichen,1988
Lock and Seal,1987
Schloß Königswald,1988
Das Schweigen des Dichters,1986
Scorpion,1986
Secondo Ponzio Pilato,1987
The Secret of My Success,1987
The Secret of the Incas' Empire,1987
Sent om hösten - En dag i Sverige,1987
September,1987
La senyora,1987
My Heart Is That Eternal Rose,1989
Shahenshah,1988
Shame,1988
Shantazhist,1988
She Must Be Seeing Things,1987
Wonder Women,1987
In the Blood,1988
Long Arm of the Law: Part 2,1987
Shi jie chuang xie,1986
Shock! Shock! Shock!,1987
The Romance of Book and Sword,1987
Shura i Prosvirnyak,1988
Shy People,1987
If the Sun Never Returns,1987
The Sicilian,1987
Axiliad,1986
Siesta,1987
Sign 'o' the Times,1987
Silent Chase,1987
"Silent Night, Deadly Night Part 2",1987
Silverhawk,1987
A Chinese Ghost Story,1987
"Sister, Sister",1987
Six Soldiers,1974
Skeleton Coast,1988
Skin,1987
White Whales,1987
Slam Dance,1987
Slammer Girls,1987
"Slate, Wyn & Me",1987
Slaughter in Xian,1990
Slaughterhouse,1987
Slave Girls from Beyond Infinity,1987
Sledopyt,1987
Sleeping Beauty,1987
Slugs,1988
Slumber Party Massacre II,1987
Smierc Johna L.,1988
Snow White,1987
Ba qi zi di,1988
Soblazn,1987
Keep Your Right Up,1987
Soldati - 365 all'alba,1987
Soldier of Fortune,1990
Big Deal After 20 Years,1985
Some Kind of Wonderful,1987
Someone to Love,1987
Someone to Watch Over Me,1987
Sommarkvällar på jorden,1987
Below Zero,1987
Under the Sun of Satan,1987
Spaceballs,1987
Spaltprozesse,1987
Specters,1987
Spiral,1987
Spårvagn till havet,1987
Spökligan,1987
Square Dance,1987
The Squeeze,1987
Ssuda na brak,1988
Stacking,1987
Stadtrand,1987
Stakeout,1987
Stand and Deliver,1988
Stanislaw i Anna,1987
Starlight Hotel,1987
Steel Dawn,1987
Steele Justice,1987
The Stepfather,1987
Stewardess School,1986
The Stick,1988
"Stielke, Heinz, Fifteen",1987
A Stitch for Time,1987
Storme: Lady of the Jewel Box,1987
Stormquest,1987
Straight to Hell,1987
Strana la vita,1988
Stranded,1987
Ghosts of the Dormers,1988
The Magpie Strategy,1987
Street Smart,1987
Street Trash,1987
Stregati,1986
Strike Commando,1987
Striker,1988
Stripped to Kill,1987
Student Confidential,1986
Studio Schönbrunn,1987
Water Also Burns,1987
La succession de Wabo Defo,1987
"Suffer, You Prick",1987
Summer Camp Nightmare,1986
Summer Heat,1987
Summer School,1987
The Sun and the Moon,1987
Superman IV: The Quest for Peace,1987
The South,1988
Surf Nazis Must Die,1987
Surrender,1987
Survival Game,1987
The Survivalist,1987
Susman,1987
Suspect,1987
Sussi,1988
Los dueños del silencio,1987
Sweet Lorraine,1987
Sweet Revenge,1987
Swimming to Cambodia,1987
Szeleburdi vakáció,1987
Szerelem második vérig,1988
"Szkola kochanków, czyli Cosi fan tutte",1987
Season of Monsters,1987
Public Security,1987
Nice and Big,1987
The Wretches Are Still Singing,1979
Day Thieves,1985
Princess from the Moon,1987
Takin' It All Off,1987
Talking Walls,1987
Tamen zheng nianqing,1987
Tandem,1987
"Tango, Our Dance",1988
Tant qu'il y aura des femmes,1987
Un tassinaro a New York,1987
Taxi nach Kairo,1987
Teen Wolf Too,1987
Tentazione,1987
Teresa,1987
Terminal Exposure,1987
Terror Eyes,1989
Terror Night,1989
Terror Squad,1987
Return to Oegstgeest,1987
Tesoro,1987
Testet,1987
Testigo azul,1989
Devil's Paradise,1987
They Still Call Me Bruce,1987
Thikana,1987
Ghosts CAN Do It,1987
Three Bewildered People in the Night,1987
Three Kinds of Heat,1987
Three Men and a Baby,1987
Three O'Clock High,1987
Three for the Road,1987
Throw Momma from the Train,1987
Thunder III,1988
Tian ci liang yuan,1987
Fighting Madam,1987
Tie xue qi jing,1987
A Tiger's Tale,1987
Tigershark,1987
The Final Arrangement,1987
The Time Guardian,1987
Tin Men,1987
Pure America,1987
Tlacuilo,1987
To Market to Market,1987
Der Tod des Empedokles oder: Wenn dann der Erde Grün von neuem Euch erglänzt,1987
Shuto shôshitsu,1987
Tommaso Blu,1986
Easy Money,1987
Too Much,1987
Too Outrageous!,1987
Top Model,1988
Totto Channel,1987
Tough Guys Don't Dance,1987
"The Good, the Bad, and the Not So Bad",1986
Trading Hearts,1988
Train of Dreams,1987
Der Traum von Paris,1987
Der traurige Vampir,1987
Travelling North,1987
Travelling avant,1987
Treasure of the Moon Goddess,1987
Ein Treffen mit Rimbaud,1988
Ein trefflich rauh' Land,1987
Das Treibhaus,1987
Subway to the Stars,1987
Trespasses,1984
La tribu de los aurones,1988
The Trouble with Dick,1987
The Trouble with Spies,1987
Trzy kroki od milosci,1988
Tu novia está loca,1988
Twelfth Night,1986
Twice Under,1989
The Tunnel,1988
Tüske a köröm alatt,1988
Ubac,1986
Ubu and the Big Thug,1979
Marble in Pieces,1987
Un amour à Paris,1987
A Man in Love,1987
Un père et passe,1989
Night Zoo,1987
Unas son de amor,1987
Under Cover,1987
Under Shelter,1987
The Under Achievers,1987
A Flame in My Heart,1987
Unfinished Business,1987
Once We Were Dreamers,1987
The Adventures of Superhero,1987
Unter dem Einfluss einer Kraft,1987
The Untouchables,1987
Wedding in Galilee,1987
Uuno Turhapuro kaksoisagentti,1987
Vado a riprendermi il gatto,1989
Valahol Magyarországon,1987
Valentino Returns,1989
Valet Girls,1986
Valhalla,1986
La vallée fantôme,1987
Count Your Blessings,1987
Reflections,1987
Vengeance Cops,1971
Vengeance Is Mine,1987
Vent de panique,1987
O Vento Sopra do Norte,1987
Vera,1986
La veritat oculta,1987
Los Verduleros 2,1987
Veredicto implacable,1987
Vergiss Snider!,1987
Verkommenes Ufer,1987
Days to Remember,1987
The Verne Miller Story,1987
Vernehmung der Zeugen,1987
Versteckte Liebe,1986
Versuchte Heimkehr,1987
Vezuchaya,1988
Vezuchiy chelovek,1987
Vi ska tvivla,1987
Le vie del Signore sono finite,1987
La vie dissolue de Gérard Floque,1986
Life Is Rosy,1987
El vent de l'illa,1988
Vincent,1987
Vinzenz,1987
Violent Shit,1989
The Visitants,1986
Die vollkommene Bedeutungslosigkeit der Frau für die Musikgeschichte,1987
Vorfall am Fluß,1987
Vory v zakone,1988
Vremya letat,1988
Caged,1988
W zawieszeniu,1987
Death Blow: A Cry for Justice,1987
Wahnfried,1986
Waiting for the Moon,1987
Waka-Waka,1987
Walk Like a Man,1987
A Walk on the Moon,1987
Wall Street,1987
Wanted: Dead or Alive,1986
Angel of Vengeance,1987
Warlords from Hell,1987
Bajing Ireng dan Jaka Sembung,1985
Warrior Queen,1987
Watan Ke Rakhwale,1987
Weeds,1987
Das weite Land,1987
Wendel,1987
Wengler & Sons,1987
Wenn ich die Antwort wüßte,1987
Weryfikacja,1986
West Is West,1989
The Whales of August,1987
White Mischief,1987
White Water Summer,1987
White Winter Heat,1987
White of the Eye,1987
Who's That Girl,1987
The Wild Pair,1987
Wild Thing,1987
A Winter Tan,1987
Winter adé,1989
Wish You Were Here,1987
The Witches of Eastwick,1987
With Love to the Person Next to Me,1987
With Time to Kill,1987
Withnail & I,1987
Wu ya jiang shi,1987
Goodbye Darling,1987
Princess Fragrance,1987
Heartbeat 100,1987
The Story of Yanagawa's Canals,1987
Yang gui zi,1987
The Year My Voice Broke,1987
Edinozhdy solgav...,1988
Yeelen,1987
Code of Honour,1987
Just Heroes,1989
The Big Brother,1987
Double Fixation,1987
The Happy Bigamist,1987
"Yilmaz Guney: His Life, His Films",1987
Tragic Hero,1987
A Better Tomorrow II,1987
You Are My Destiny,1987
Diary of King Yonsan,1988
You Talkin' to Me?,1987
Z.B. ... Otto Spalt,1988
Zagadochnyy naslednik,1987
Zagon,1988
Zapata en Chinameca,1989
Zavtra byla voyna,1987
Zegen,1987
Mirror for a Hero,1987
Zhao hua xi shi,1987
Righting Wrongs,1986
Dynamite Fighters,1987
Middle Man,1990
Zima w dolinie Muminkow,1987
Ziveli! Medicine for the Heart,1987
Zivot radnika,1987
Zlota mahmudia,1987
Zloty pociag,1986
Looking for Eileen,1987
Zombie High,1987
Zombie vs. Ninja,1989
Initiation,1987
Zui hou de feng kuang,1989
Final Victory,1987
The Final Test,1987
Zyat iz provintsii,1987
Zycie wewnetrzne,1987
Zygfryd,1986
Zärtliche Chaoten,1987
Zâmbet de soare,1987
¡Biba la banda!,1987
"Qui t'estima, Babel?",1987
Sisulla ja sydämellä,1947
Ätherrausch,1987
L'été en pente douce,1987
In fiecare zi mi-e dor de tine,1988
Ödipussi,1988
Över fjärden är himlen hög,1987
'68,1988
Depeche Mode: 101,1989
The 13th Floor,1988
18 Again!,1988
1969,1988
Summer Vacation 1999,1988
36 fillette,1988
976-EVIL,1988
The Color of Destiny,1986
Fist Fighter,1988
Above the Law,1988
AkaTaMuS,1988
Accadde a Parma,1988
The Accidental Tourist,1988
Accidents,1989
The Accused,1988
Das achte Gebot,1991
Action Jackson,1988
Adada,1987
Adelmo,1988
War Bus Commando,1989
Afraid to Dance,1989
After Death,1989
Agni Natchathiram,1988
Ai de tao bing,1988
Chaos by Design,1988
Scent of a Crime,1988
Akira,1988
És quan dormo que hi veig clar,1989
Edge of the Axe,1988
Alexa,1988
Alias Will James,1988
Alien Nation,1988
Transformations,1988
Allegoria,1988
Aloha Summer,1988
Alouette,1988
"Amanece, que no es poco",1989
American Gothic,1987
Season of Fear,1989
American Roulette,1988
The American Scream,1988
The Girlfriend,1988
L'amor és estrany,1988
Love of a Woman,1988
Amors bilar,1988
L'amour en latin,1989
Amsterdamned,1988
"Amerika, Terra Incognita",1988
Ander Eta Yul,1988
Andy Colby's Incredible Adventure,1989
Angel III: The Final Chapter,1988
Angela come te,1988
Firing Squad,1989
Anna,1988
Les années sandwiches,1988
Another Woman,1988
Antara Dua Hati,1988
Antarctica Projekt,1988
Any Man's Death,1990
Apartment Zero,1988
Appointment with Death,1988
Apprentice to Murder,1988
Ariel,1988
Arizona Heat,1988
Arthur 2: On the Rocks,1988
As Time Goes by,1988
Ashik Kerib,1988
Tomorrow,1988
Assa,1987
The Spirit,1989
Aufbruch ins Leid - März 1938,1988
Die Aufklärungsrolle - Als die Liebe laufen lernte,1988
Augen... Blicke,1992
L'autre nuit,1988
Las aventuras y calenturas de los cuatro borricos,1988
B.O.R.N.,1989
Top Squad,1988
The Eighth Happiness,1988
Bachi da seta,1988
Back to Freedom,1988
Backstage,1988
Bad Dreams,1988
El baile del pato,1989
Going Down in Morocco,1989
Bal poussière,1989
The Gang of Four,1989
Bangkok Story,1989
Baptême,1989
Bat*21,1988
Baxter,1989
Beach Balls,1988
Beaches,1988
The Beast of War,1988
The Beat,1988
Bees Saal Baad,1989
Beetlejuice,1988
The Beggar Student,1988
Belaya kost,1989
Belinda,1988
Berlín Blues,1988
The Visitors,1988
Betrayed,1988
Beverly Hills Vamp,1989
Beyond Gravity,1989
Bez grzechu,1988
Big,1988
The Big Blue,1988
Big Business,1988
Big Game,1988
The Big Giver,1988
Big Time,1988
Big Top Pee-wee,1988
Images of the World and the Inscription of War,1989
Biloxi Blues,1988
Bird,1988
Biri ve Digerleri,1988
Bist du gelähmt...?!,1988
Black Eagle,1988
Black mic-mac 2,1988
Black Roses,1988
Blackbelt II,1989
Blackout,1988
Blázni a devcátka,1988
Blind Justice,1988
The Blizzard of AAHHH's,1988
The Blob,1988
Delirio di sangue,1988
The Bloody Monks,1989
The Blood of Heroes,1989
Bloodstone,1988
Blue City Slammers,1988
The Blue Iguana,1988
Blue Movies,1988
Blueberry Hill,1988
Blücher,1988
The Lion's Den,1988
Secret Wedding,1989
La Bohème,1988
Le bonheur se porte large,1988
Bonjour l'angoisse,1988
The Boost,1988
Borderline,1988
Born to Race,1988
Taste of Life,1988
The Jeweller's Shop,1988
Bouka,1988
Boulevard of Broken Dreams,1988
Boundaries of the Heart,1988
Braddock: Missing in Action III,1988
Brain Damage,1988
The Brain,1988
Breaking Loose: Summer City II,1988
Brennende Betten,1988
Kirjeitä Ruotsista,1988
"Bright Lights, Big City",1988
The Break,1989
Brumal,1989
Brun bitter,1988
Sprays of Champagne,1989
He Who Chases After the Wind,1988
Bua daeng,1988
Buckeye and Blue,1987
Bull Durham,1988
Bulletproof,1987
Bum Rap,1988
Burning Secret,1988
Burning Snow,1988
Bush Shrink,1988
Buster,1988
Bye Bye Baby,1988
Bye Bye Vietnam,1988
Baton Rouge,1988
Caddyshack II,1988
Call Me,1988
Camille Claudel,1988
Camino largo a Tijuana,1988
I cammelli,1988
Canale grande,1983
The Cannibals,1988
Cannibal Women in the Avocado Jungle of Death,1989
Captive Rage,1988
Caro Gorbaciov,1988
The Carrier,1988
Cartas del parque,1988
"Caruso Paskoski, Son of a Pole",1988
The House of Smiles,1991
"Casa mia, casa mia...",1988
Casablanca Express,1989
A Case of Honor,1989
The Case of the Silver Snake,1988
Casual Sex?,1988
Celia,1989
Cellar Dweller,1987
Centauro,1988
Fractured Follies,1988
Le chemin de Damas,1988
City War,1988
No Compromise,1988
Fatal Termination,1990
Father,1988
Chief Zabu,1988
The Church,1989
Child's Play,1988
Children of the Empire,1988
Chimère,1989
Chocolat,1988
The Chocolate War,1988
The Choice,1988
A Chorus of Disapproval,1989
Chouans!,1988
The Figures from Earth,1990
Mr. Possessed,1988
Chyornyy koridor,1988
The Road Home,1988
Les cigognes n'en font qu'à leur tête,1989
Five Days in June,1989
Clara's Heart,1988
Clay Farmers,1988
Clean and Sober,1988
Clownhouse,1989
Everything You Always Wanted to Know About Sex But Were Afraid to Experience,1988
Cobra Verde,1987
Cocktail,1988
Cocoon: The Return,1988
Codice privato,1988
Leathernecks,1989
Colors,1988
The Overthrow,1987
Com'è dura l'avventura,1987
Comic Book Confidential,1988
Coming to America,1988
The Commander,1988
Committed,1991
Compagni di scuola,1988
Compo,1989
El compromiso,1988
Computer Dreams,1988
Con el corazón en la mano,1988
Consuelo,1988
Consuming Passions,1988
Cop Game,1988
The Couch Trip,1988
La couleur du vent,1988
The Courier,1988
Cover Up: Behind the Iran Contra Affair,1988
Covjek koji je volio sprovode,1989
One Way Out,1987
Crime Zone,1988
Critters 2: The Main Course,1988
Not Another Mistake,1989
Crossing Delancey,1988
Crusoe,1988
A Cry in the Dark,1988
The Cry of Reason: Beyers Naude - An Afrikaner Speaks Out,1988
Curse of the Crystal Eye,1991
Crystalstone,1987
Crónica de la guerra carlista,1988
Curse II: The Bite,1989
Curse of the Queerwolf,1988
Cy Warrior,1989
Love Rites,1987
D.O.A.,1988
Da,1988
The Diary of a Big Man,1988
Stumbling Cops,1988
Daddy's Boys,1988
Daffy Duck's Quackbusters,1988
Dakota,1988
Dance of the Damned,1989
Dancing in the Forest,1989
Dangerous Curves,1988
Dangerous Liaisons,1988
Dangerous Love,1988
Dark Bar,1989
Dark Mission: Evil Flowers,1988
Daasi,1988
David and the Magic Pearl,1988
The Dawning,1988
Day and Night,1988
Day of the Panther,1988
Dayavan,1988
Sound and Fury,1988
Dead End City,1988
Dead Heat,1988
The Dead Next Door,1989
The Dead Pool,1988
Dead Ringers,1988
Deadly Addiction,1989
Deadly Dreams,1988
Deadly Stranger,1988
Death Chase,1988
Death Force,1989
Death Row Diner,1988
Death by Dialogue,1988
The Deceivers,1988
The Decline of Western Civilization Part II: The Metal Years,1988
Defense Play,1988
Delitti e profumi,1988
Demasiado miedo a la vida o Plaff,1988
Demasiado viejo para morir joven,1989
Demon Warrior,1988
Demonia,1990
Demonwarp,1988
Desert Warrior,1988
Desperacja,1989
Destroyer,1988
Destroying Angel,1990
Det är långt till New York,1988
Deux,1989
Deux minutes de soleil en plus,1988
Dharamyudh,1988
The First Time Is the Last Time,1989
The Devil,1972
Diario de invierno,1988
Die Hard,1988
La diputada,1988
Dirty Dancing Concert Tour,1988
Dirty Rotten Scoundrels,1988
Diskzhokey,1988
Displaced View,1988
Dissident,1988
Distant Thunder,1988
"Distant Voices, Still Lives",1988
Dixie Lanes,1988
Days of Eclipse,1988
Dobrí holubi se vracejí,1989
Doctor Hackenstein,1988
"Doctors, Liars & Women",1988
Doin' Time on Planet Earth,1988
It's Happening Tomorrow,1988
Dominick and Eugene,1988
Don Bosco,1988
La donna della luna,1988
El Dorado,1988
Dear Yelena Sergeyevna,1988
Dorogoe udovolstvie,1988
Dotknieci,1989
Dr. Alien,1989
Dream Demon,1988
The Dreaming,1988
Drei D,1988
The Dressmaker,1988
The Drifter,1988
Droga do domu,1988
Tonkô,1988
Dziewczynka z hotelu Excelsior,1988
Dzikun,1988
Día de muertos,1988
Eagles Law,1988
L'eau de misère,1988
Egy teljes nap,1988
Eight Men Out,1988
Bear Ye One Another's Burden,1988
Eldorádó,1988
Die Feuerprobe - Novemberpogrom 1938,1988
Elvira: Mistress of the Dark,1988
Emanon,1987
Emmanuelle 6,1988
Emperor of the Bronx,1990
En Sabana Grande siempre es de día,1988
Once More,1988
Incident at Raven's Gate,1988
L'enfance de l'art,1988
Enkel resa,1988
Fallen Couple,1995
Envoyez les violons,1988
Er - Sie - Es,1989
Erinnerungen an ein verlorenes Land,1988
Ernest Saves Christmas,1988
Es,1988
Esa cosa con plumas,1988
The Escape,1991
Eskorpion,1989
Esperanza,1988
Esquilache,1989
"Europa, abends",1989
The Everlasting Secret Family,1988
Everybody's All-American,1988
Evil Laugh,1986
The Expendables,1988
Leng yan sha ji,1982
The Truth,1988
Faceless,1988
Fair Game,1988
Fallada: The Last Chapter,1988
Family Reunion,1988
Fantozzi Retires,1988
Far North,1988
Abschied vom falschen Paradies,1989
Intrigo d'amore,1988
Fatal Pulse,1988
Fatal Secret,1989
Fear,1988
Feds,1988
Purgatory,1988
The Beloved Son of God,1988
The Sparrow's Fluttering,1988
Feng kuang de dai jia,1988
Feng xie,1983
Fever,1988
Fifty Fifty,1988
Filou,1988
Fire from the Mountain,1987
A Fish Called Wanda,1988
The Beasts,1980
Der Fluch,1988
Folk og røvere i Kardemomme by,1988
Folo Suer,1988
Fontan,1988
For Keeps?,1988
Fordringsägare,1988
Foxtrot,1988
Frankenstein General Hospital,1988
Frantic,1988
The Red Monks,1988
Freeway,1988
Fresh Horses,1988
Friday the 13th: The New Blood,1988
Friends,1988
The Frog Prince,1986
The Fruit Machine,1988
Frequent Death,1988
Frühstück zu dritt,1988
Full Moon in Blue Water,1988
Fun Down There,1989
Funny Farm,1988
The Further Adventures of Tennessee Buck,1988
Further and Particular,1988
Fábula de la Bella Palomera,1988
Det första äventyret,1988
Galactic Gigolo,1987
Golden Swallow,1987
The Game,1988
Gangaa Jamunaa Saraswathi,1988
Garum (Fantastic Contradiction),1988
Gaspard et fil$,1990
Wherever You Are...,1988
Geierwally,1986
Bride of the Orient,1989
Gemini: The Twin Stars,1988
Georgette Meunier,1989
Georgia,1988
The Goose Princess,1989
La geste gibelline,1988
Getting Even,1989
Ghost's Hospital,1988
Ghost Town,1988
Ghost in the House,1988
Ghosts... of the Civil Dead,1988
The Girl from the Scene,1988
Girls Without Tomorrow,1988
Glitch!,1988
God Rides a Harley,1987
Going Hollywood: The War Years,1988
Going Undercover,1985
Goldjunge,1988
The Greatest Lover,1988
The Good Mother,1988
The River Pirates,1988
Gor,1987
Gorillas in the Mist,1988
Zerograd,1988
Gran Sol,1989
The Big Blue,1988
The Great Outdoors,1988
Greshnik,1988
Grievous Bodily Harm,1988
Grotesque,1988
Gui gan you yuan,1986
Mobile Suit Gundam: Char's Counterattack,1988
Paper Marriage,1988
Les guérisseurs,1988
Gwiazda Piolun,1988
Hacienda somos casi todos,1988
Hairspray,1988
Halloween 4: The Return of Michael Myers,1988
A Chaos of Flowers,1988
A Handful of Dust,1988
Hanna's War,1988
Hanussen,1988
18 Times,1988
Hard Rock Nightmare,1988
Hard Times,1988
Haunted Summer,1988
Haus,1988
Heartstopper,1989
Heart of Midnight,1988
Heartbreak Hotel,1988
Heavy Petting,1989
Lethal Angels,1990
Three Wishes,1988
Shell Shock,1988
Hell Raiders,1988
Hellbound: Hellraiser II,1988
Herbstmilch,1989
Hero and the Terror,1988
Hidden City,1987
Hide and Go Shriek,1988
Hifazat,1987
High Fidelity,1989
High Hopes,1988
High Season,1987
High Spirits,1988
High Tide,1987
Heaven and Hell,1988
Himmelsheim,1988
Disciples of Hippocrates,1980
"American Stories: Food, Family and Philosophy",1989
Hit List,1989
Hollywood Chainsaw Hookers,1988
Hollywood Cop,1987
Hollywood's New Blood,1988
Homeboy,1988
Hong yi shao nu,1985
Honneponnetje,1988
Honor Bound,1988
Hostile Takeover,1988
Hot Splash,1988
Hot to Trot,1988
Grave of the Fireflies,1988
Bet on Fire,1988
The House of Usher,1989
The House on Carroll Street,1988
The Vengeance,1992
Picture of a Nymph,1987
In the Line of Duty III,1988
